name of company,college name,region,year,Salary
KPIT TECHNOLOGIES,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2018,797402
BANK OF AMERICA,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018,797402
BANK OF AMERICA,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2018,797402
BANK OF AMERICA,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2015,886642
QAD,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2018,886642
QAD,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2017,886642
QAD,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,886642
QAD,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2016,741821
DELOITTE,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2018,741821
DELOITTE,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2015,741821
DELOITTE,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2014,741821
DELOITTE,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2018,741821
DELOITTE,COLLEGE OF ENGINEERING PUNE,PUNE,2018,741821
DELOITTE,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2018,331295
OSP LABS,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2018,861754
CIMPRESS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017,861754
CIMPRESS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017,1385379
MEDIA.NET,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,1385379
MEDIA.NET,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,1385379
MEDIA.NET,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2018,1385379
MEDIA.NET,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2017,1385379
MEDIA.NET,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017,1385379
MEDIA.NET,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018,574906
SAINT-GOBAIN,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2018,737980
GEOMETRIC SOFTWARE SOLUTIONS,MIT COLLEGE OF ENGINEERING,PUNE,2018,346240
MILES SOFTWARE,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2015,346240
MILES SOFTWARE,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2015,346240
MILES SOFTWARE,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2015,346240
MILES SOFTWARE,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2015,346240
MILES SOFTWARE,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2017,652677
BOOKMYSHOW,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018,363632
TATA CONSULTANCY SERVICES,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2016,363632
TATA CONSULTANCY SERVICES,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2017,363632
TATA CONSULTANCY SERVICES,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2018,363632
TATA CONSULTANCY SERVICES,MIT COLLEGE OF ENGINEERING,PUNE,2018,745992
SABA SOFTWARE,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2018,709027
MU SIGMA,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018,709027
MU SIGMA,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,709027
MU SIGMA,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,709027
MU SIGMA,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2018,709027
MU SIGMA,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2018,343078
ECLINICALWORKS,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2018,343078
ECLINICALWORKS,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2018,343078
ECLINICALWORKS,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2015,343078
ECLINICALWORKS,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2015,343078
ECLINICALWORKS,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2015,343078
ECLINICALWORKS,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2015,597715
CYBAGE SOFTWARE,COLLEGE OF ENGINEERING PUNE,PUNE,2018,597715
CYBAGE SOFTWARE,DHOLE PATIL COLLEGE OF ENGINEERING PUNE,PUNE,2018,597715
CYBAGE SOFTWARE,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2018,348289
VPHRASE,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018,409027
WNS,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,409027
WNS,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,470358
WISDMLABS,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018,470358
WISDMLABS,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2017,470358
WISDMLABS,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2016,470358
WISDMLABS,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2017,470358
WISDMLABS,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2018,1724538
ENDURANCE INTERNATIONAL GROUP,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018,771234
AMDOCS,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2018,771234
AMDOCS,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2018,771234
AMDOCS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2016,771234
AMDOCS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017,771234
AMDOCS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017,771234
AMDOCS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018,771234
